
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 27-Nov-2025 at 16:19:01.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3
    1.0750   9.9752750E+05   1.3800600E+06   9.9806394E+05   8.0209269E+05   1.1762740E+06   8.0184381E+05
    1.0875   9.9731969E+05   1.3805759E+06   9.9772456E+05   8.0187844E+05   1.1766484E+06   8.0162344E+05
    1.1000   9.9710788E+05   1.3811101E+06   9.9736856E+05   8.0165319E+05   1.1770404E+06   8.0139838E+05
    1.1125   9.9689094E+05   1.3816619E+06   9.9699806E+05   8.0141669E+05   1.1774516E+06   8.0116781E+05
    1.1250   9.9666825E+05   1.3822296E+06   9.9661519E+05   8.0116862E+05   1.1778830E+06   8.0093094E+05
    1.1375   9.9643969E+05   1.3828114E+06   9.9622212E+05   8.0090888E+05   1.1783356E+06   8.0068706E+05
    1.1500   9.9620612E+05   1.3834039E+06   9.9582156E+05   8.0063744E+05   1.1788101E+06   8.0043575E+05
    1.1625   9.9596731E+05   1.3840062E+06   9.9541462E+05   8.0035450E+05   1.1793069E+06   8.0017650E+05
    1.1750   9.9572500E+05   1.3846150E+06   9.9500344E+05   8.0006038E+05   1.1798259E+06   7.9990900E+05
    1.1875   9.9547988E+05   1.3852282E+06   9.9458931E+05   7.9975569E+05   1.1803668E+06   7.9963300E+05
    1.2000   9.9523338E+05   1.3858436E+06   9.9417356E+05   7.9944112E+05   1.1809290E+06   7.9934806E+05
    1.2125   9.9498631E+05   1.3864594E+06   9.9375725E+05   7.9911775E+05   1.1815121E+06   7.9905381E+05
    1.2250   9.9473956E+05   1.3870742E+06   9.9334138E+05   7.9878662E+05   1.1821152E+06   7.9874981E+05
    1.2375   9.9449338E+05   1.3876871E+06   9.9292694E+05   7.9844912E+05   1.1827375E+06   7.9843550E+05
    1.2500   9.9424762E+05   1.3882976E+06   9.9251475E+05   7.9810650E+05   1.1833780E+06   7.9811019E+05
    1.2625   9.9400200E+05   1.3889058E+06   9.9210562E+05   7.9776012E+05   1.1840362E+06   7.9777306E+05
    1.2750   9.9375612E+05   1.3895106E+06   9.9170119E+05   7.9741131E+05   1.1847112E+06   7.9742331E+05
    1.2875   9.9350831E+05   1.3901145E+06   9.9130119E+05   7.9706131E+05   1.1854028E+06   7.9706012E+05
    1.3000   9.9325781E+05   1.3907171E+06   9.9090712E+05   7.9671100E+05   1.1861101E+06   7.9668275E+05
    1.3125   9.9300331E+05   1.3913199E+06   9.9051912E+05   7.9636131E+05   1.1868329E+06   7.9629050E+05
    1.3250   9.9274381E+05   1.3919236E+06   9.9013794E+05   7.9601281E+05   1.1875710E+06   7.9588300E+05
    1.3375   9.9247856E+05   1.3925292E+06   9.8976369E+05   7.9566588E+05   1.1883240E+06   7.9546000E+05
    1.3500   9.9220712E+05   1.3931371E+06   9.8939688E+05   7.9532062E+05   1.1890915E+06   7.9502162E+05
    1.3625   9.9192950E+05   1.3937476E+06   9.8903744E+05   7.9497712E+05   1.1898729E+06   7.9456819E+05
    1.3750   9.9164575E+05   1.3943606E+06   9.8868581E+05   7.9463531E+05   1.1906678E+06   7.9410044E+05
    1.3875   9.9135650E+05   1.3949760E+06   9.8834200E+05   7.9429500E+05   1.1914751E+06   7.9361931E+05
    1.4000   9.9106312E+05   1.3955918E+06   9.8800694E+05   7.9395612E+05   1.1922938E+06   7.9312619E+05
    1.4125   9.9076581E+05   1.3962086E+06   9.8768006E+05   7.9361856E+05   1.1931222E+06   7.9262244E+05
    1.4250   9.9046600E+05   1.3968246E+06   9.8736219E+05   7.9328244E+05   1.1939592E+06   7.9210975E+05
    1.4375   9.9016438E+05   1.3974390E+06   9.8705338E+05   7.9294781E+05   1.1948028E+06   7.9159006E+05
    1.4500   9.8986206E+05   1.3980509E+06   9.8675388E+05   7.9261500E+05   1.1956508E+06   7.9106506E+05
    1.4625   9.8955975E+05   1.3986595E+06   9.8646369E+05   7.9228444E+05   1.1965012E+06   7.9053681E+05
    1.4750   9.8925812E+05   1.3992644E+06   9.8618275E+05   7.9195650E+05   1.1973520E+06   7.9000719E+05
    1.4875   9.8895800E+05   1.3998652E+06   9.8591062E+05   7.9163181E+05   1.1982010E+06   7.8947806E+05
    1.5000   9.8865981E+05   1.4004621E+06   9.8564662E+05   7.9131075E+05   1.1990461E+06   7.8895119E+05
    1.5125   9.8836425E+05   1.4010552E+06   9.8538969E+05   7.9099381E+05   1.1998856E+06   7.8842831E+05
    1.5250   9.8807244E+05   1.4016444E+06   9.8513912E+05   7.9068138E+05   1.2007180E+06   7.8791106E+05
    1.5375   9.8778438E+05   1.4022314E+06   9.8489256E+05   7.9037362E+05   1.2015415E+06   7.8740088E+05
    1.5500   9.8750125E+05   1.4028162E+06   9.8464900E+05   7.9007062E+05   1.2023552E+06   7.8689925E+05
    1.5625   9.8722350E+05   1.4033999E+06   9.8440644E+05   7.8977244E+05   1.2031582E+06   7.8640744E+05
    1.5750   9.8695194E+05   1.4039829E+06   9.8416338E+05   7.8947875E+05   1.2039499E+06   7.8592662E+05
    1.5875   9.8668731E+05   1.4045655E+06   9.8391838E+05   7.8918944E+05   1.2047296E+06   7.8545806E+05
    1.6000   9.8643031E+05   1.4051479E+06   9.8367056E+05   7.8890412E+05   1.2054970E+06   7.8500262E+05
    1.6125   9.8618144E+05   1.4057296E+06   9.8341938E+05   7.8862250E+05   1.2062519E+06   7.8456131E+05
    1.6250   9.8594125E+05   1.4063100E+06   9.8316488E+05   7.8834425E+05   1.2069939E+06   7.8413519E+05
    1.6375   9.8571031E+05   1.4068878E+06   9.8290744E+05   7.8806925E+05   1.2077228E+06   7.8372494E+05
    1.6500   9.8548931E+05   1.4074608E+06   9.8264862E+05   7.8779731E+05   1.2084382E+06   7.8333144E+05
    1.6625   9.8527806E+05   1.4080279E+06   9.8238912E+05   7.8752856E+05   1.2091398E+06   7.8295544E+05
    1.6750   9.8507712E+05   1.4085866E+06   9.8213100E+05   7.8726306E+05   1.2098269E+06   7.8259775E+05
    1.6875   9.8488669E+05   1.4091350E+06   9.8187588E+05   7.8700119E+05   1.2104989E+06   7.8225888E+05
    1.7000   9.8470706E+05   1.4096708E+06   9.8162550E+05   7.8674331E+05   1.2111549E+06   7.8193956E+05
    1.7125   9.8453850E+05   1.4101920E+06   9.8138156E+05   7.8649006E+05   1.2117942E+06   7.8164019E+05
    1.7250   9.8438138E+05   1.4106968E+06   9.8114544E+05   7.8624212E+05   1.2124161E+06   7.8136125E+05
    1.7375   9.8423606E+05   1.4111835E+06   9.8091825E+05   7.8600006E+05   1.2130196E+06   7.8110288E+05
    1.7500   9.8410281E+05   1.4116509E+06   9.8070094E+05   7.8576481E+05   1.2136041E+06   7.8086525E+05
    1.7625   9.8398200E+05   1.4120980E+06   9.8049406E+05   7.8553712E+05   1.2141690E+06   7.8064825E+05
    1.7750   9.8387406E+05   1.4125239E+06   9.8029844E+05   7.8531775E+05   1.2147136E+06   7.8045156E+05
    1.7875   9.8377881E+05   1.4129285E+06   9.8011375E+05   7.8510750E+05   1.2152379E+06   7.8027462E+05
    1.8000   9.8369631E+05   1.4133114E+06   9.7994069E+05   7.8490719E+05   1.2157414E+06   7.8011688E+05
    1.8125   9.8362631E+05   1.4136726E+06   9.7977931E+05   7.8471750E+05   1.2162244E+06   7.7997731E+05
    1.8250   9.8356825E+05   1.4140122E+06   9.7963019E+05   7.8453919E+05   1.2166869E+06   7.7985506E+05
    1.8375   9.8352175E+05   1.4143300E+06   9.7949388E+05   7.8437281E+05   1.2171291E+06   7.7974894E+05
    1.8500   9.8348600E+05   1.4146259E+06   9.7937144E+05   7.8421912E+05   1.2175512E+06   7.7965788E+05
    1.8625   9.8346038E+05   1.4148992E+06   9.7926388E+05   7.8407856E+05   1.2179538E+06   7.7958075E+05
    1.8750   9.8344419E+05   1.4151498E+06   9.7917262E+05   7.8395181E+05   1.2183365E+06   7.7951662E+05
    1.8875   9.8343706E+05   1.4153762E+06   9.7909912E+05   7.8383919E+05   1.2186996E+06   7.7946462E+05
    1.9000   9.8343875E+05   1.4155776E+06   9.7904531E+05   7.8374131E+05   1.2190430E+06   7.7942412E+05
    1.9125   9.8344875E+05   1.4157530E+06   9.7901244E+05   7.8365850E+05   1.2193664E+06   7.7939462E+05
    1.9250   9.8346731E+05   1.4159006E+06   9.7900206E+05   7.8359112E+05   1.2196690E+06   7.7937606E+05
    1.9375   9.8349469E+05   1.4160194E+06   9.7901556E+05   7.8353956E+05   1.2199502E+06   7.7936838E+05
    1.9500   9.8353119E+05   1.4161081E+06   9.7905375E+05   7.8350412E+05   1.2202092E+06   7.7937188E+05
    1.9625   9.8357738E+05   1.4161655E+06   9.7911750E+05   7.8348506E+05   1.2204448E+06   7.7938700E+05
    1.9750   9.8363375E+05   1.4161908E+06   9.7920712E+05   7.8348269E+05   1.2206556E+06   7.7941431E+05
    1.9875   9.8370100E+05   1.4161835E+06   9.7932269E+05   7.8349725E+05   1.2208406E+06   7.7945462E+05
    2.0000   9.8377950E+05   1.4161435E+06   9.7946388E+05   7.8352888E+05   1.2209985E+06   7.7950850E+05
    2.0125   9.8386969E+05   1.4160709E+06   9.7963006E+05   7.8357775E+05   1.2211279E+06   7.7957669E+05
    2.0250   9.8397200E+05   1.4159664E+06   9.7982062E+05   7.8364406E+05   1.2212279E+06   7.7965994E+05
    2.0375   9.8408612E+05   1.4158308E+06   9.8003425E+05   7.8372775E+05   1.2212972E+06   7.7975881E+05
    2.0500   9.8421238E+05   1.4156652E+06   9.8026988E+05   7.8382888E+05   1.2213354E+06   7.7987375E+05
    2.0625   9.8435044E+05   1.4154711E+06   9.8052612E+05   7.8394731E+05   1.2213416E+06   7.8000525E+05
    2.0750   9.8450025E+05   1.4152498E+06   9.8080156E+05   7.8408281E+05   1.2213152E+06   7.8015369E+05
    2.0875   9.8466156E+05   1.4150024E+06   9.8109469E+05   7.8423519E+05   1.2212562E+06   7.8031931E+05
    2.1000   9.8483438E+05   1.4147304E+06   9.8140419E+05   7.8440394E+05   1.2211642E+06   7.8050250E+05
    2.1125   9.8501875E+05   1.4144346E+06   9.8172862E+05   7.8458875E+05   1.2210391E+06   7.8070344E+05
    2.1250   9.8521481E+05   1.4141159E+06   9.8206675E+05   7.8478906E+05   1.2208808E+06   7.8092262E+05
    2.1375   9.8542294E+05   1.4137748E+06   9.8241731E+05   7.8500431E+05   1.2206891E+06   7.8116031E+05
    2.1500   9.8564369E+05   1.4134115E+06   9.8277950E+05   7.8523394E+05   1.2204641E+06   7.8141712E+05
    2.1625   9.8587750E+05   1.4130258E+06   9.8315231E+05   7.8547738E+05   1.2202056E+06   7.8169344E+05
    2.1750   9.8612506E+05   1.4126172E+06   9.8353512E+05   7.8573412E+05   1.2199132E+06   7.8199000E+05
    2.1875   9.8638694E+05   1.4121856E+06   9.8392750E+05   7.8600375E+05   1.2195868E+06   7.8230731E+05
    2.2000   9.8666362E+05   1.4117302E+06   9.8432900E+05   7.8628588E+05   1.2192256E+06   7.8264619E+05
    2.2125   9.8695550E+05   1.4112505E+06   9.8473944E+05   7.8658006E+05   1.2188296E+06   7.8300712E+05
    2.2250   9.8726269E+05   1.4107458E+06   9.8515862E+05   7.8688625E+05   1.2183982E+06   7.8339075E+05
    2.2375   9.8758512E+05   1.4102159E+06   9.8558638E+05   7.8720425E+05   1.2179310E+06   7.8379744E+05
    2.2500   9.8792262E+05   1.4096608E+06   9.8602256E+05   7.8753394E+05   1.2174278E+06   7.8422750E+05
    2.2625   9.8827462E+05   1.4090804E+06   9.8646706E+05   7.8787531E+05   1.2168881E+06   7.8468100E+05
    2.2750   9.8864056E+05   1.4084756E+06   9.8691931E+05   7.8822838E+05   1.2163121E+06   7.8515794E+05
    2.2875   9.8901956E+05   1.4078465E+06   9.8737912E+05   7.8859306E+05   1.2157001E+06   7.8565788E+05
    2.3000   9.8941069E+05   1.4071942E+06   9.8784588E+05   7.8896944E+05   1.2150522E+06   7.8618031E+05
    2.3125   9.8981319E+05   1.4065198E+06   9.8831894E+05   7.8935744E+05   1.2143695E+06   7.8672450E+05
    2.3250   9.9022606E+05   1.4058239E+06   9.8879762E+05   7.8975700E+05   1.2136524E+06   7.8728931E+05
    2.3375   9.9064831E+05   1.4051076E+06   9.8928131E+05   7.9016806E+05   1.2129021E+06   7.8787369E+05
    2.3500   9.9107925E+05   1.4043719E+06   9.8976938E+05   7.9059038E+05   1.2121199E+06   7.8847619E+05
    2.3625   9.9151806E+05   1.4036172E+06   9.9026131E+05   7.9102394E+05   1.2113070E+06   7.8909544E+05
    2.3750   9.9196406E+05   1.4028442E+06   9.9075694E+05   7.9146844E+05   1.2104649E+06   7.8972988E+05
    2.3875   9.9241662E+05   1.4020530E+06   9.9125600E+05   7.9192381E+05   1.2095949E+06   7.9037794E+05
    2.4000   9.9287500E+05   1.4012442E+06   9.9175875E+05   7.9238988E+05   1.2086985E+06   7.9103806E+05
    2.4125   9.9333875E+05   1.4004168E+06   9.9226575E+05   7.9286650E+05   1.2077768E+06   7.9170869E+05
    2.4250   9.9380731E+05   1.3995706E+06   9.9277750E+05   7.9335356E+05   1.2068311E+06   7.9238831E+05
    2.4375   9.9428006E+05   1.3987049E+06   9.9329494E+05   7.9385112E+05   1.2058625E+06   7.9307562E+05
    2.4500   9.9475650E+05   1.3978191E+06   9.9381912E+05   7.9435894E+05   1.2048719E+06   7.9376925E+05
    2.4625   9.9523594E+05   1.3969124E+06   9.9435094E+05   7.9487706E+05   1.2038599E+06   7.9446812E+05
    2.4750   9.9571788E+05   1.3959844E+06   9.9489131E+05   7.9540538E+05   1.2028274E+06   7.9517112E+05
    2.4875   9.9620162E+05   1.3950344E+06   9.9544112E+05   7.9594381E+05   1.2017748E+06   7.9587731E+05
    2.5000   9.9668656E+05   1.3940626E+06   9.9600075E+05   7.9649206E+05   1.2007028E+06   7.9658581E+05
    2.5125   9.9717200E+05   1.3930691E+06   9.9657056E+05   7.9704994E+05   1.1996118E+06   7.9729581E+05
    2.5250   9.9765719E+05   1.3920552E+06   9.9715012E+05   7.9761700E+05   1.1985025E+06   7.9800656E+05
    2.5375   9.9814181E+05   1.3910208E+06   9.9773931E+05   7.9819281E+05   1.1973755E+06   7.9871731E+05
    2.5500   9.9862506E+05   1.3899676E+06   9.9833725E+05   7.9877675E+05   1.1962316E+06   7.9942738E+05
    2.5625   9.9910662E+05   1.3888968E+06   9.9894300E+05   7.9936800E+05   1.1950718E+06   8.0013594E+05
    2.5750   9.9958600E+05   1.3878096E+06   9.9955531E+05   7.9996588E+05   1.1938968E+06   8.0084231E+05
    2.5875   1.0000628E+06   1.3867080E+06   1.0001729E+06   8.0056931E+05   1.1927078E+06   8.0154575E+05
    2.6000   1.0005366E+06   1.3855932E+06   1.0007942E+06   8.0117731E+05   1.1915059E+06   8.0224538E+05
    2.6125   1.0010074E+06   1.3844671E+06   1.0014181E+06   8.0178888E+05   1.1902924E+06   8.0294056E+05
    2.6250   1.0014750E+06   1.3833309E+06   1.0020431E+06   8.0240288E+05   1.1890684E+06   8.0363056E+05
    2.6375   1.0019393E+06   1.3821856E+06   1.0026680E+06   8.0301819E+05   1.1878351E+06   8.0431469E+05
    2.6500   1.0024001E+06   1.3810336E+06   1.0032914E+06   8.0363369E+05   1.1865938E+06   8.0499238E+05
    2.6625   1.0028579E+06   1.3798740E+06   1.0039128E+06   8.0424825E+05   1.1853454E+06   8.0566319E+05
    2.6750   1.0033128E+06   1.3787084E+06   1.0045309E+06   8.0486088E+05   1.1840906E+06   8.0632681E+05
    2.6875   1.0037651E+06   1.3775369E+06   1.0051453E+06   8.0547044E+05   1.1828304E+06   8.0698300E+05
    2.7000   1.0042153E+06   1.3763599E+06   1.0057551E+06   8.0607600E+05   1.1815654E+06   8.0763175E+05
    2.7125   1.0046638E+06   1.3751776E+06   1.0063598E+06   8.0667656E+05   1.1802958E+06   8.0827319E+05
    2.7250   1.0051110E+06   1.3739902E+06   1.0069586E+06   8.0727125E+05   1.1790222E+06   8.0890744E+05
    2.7375   1.0055572E+06   1.3727984E+06   1.0075506E+06   8.0785919E+05   1.1777448E+06   8.0953481E+05
    2.7500   1.0060028E+06   1.3716025E+06   1.0081352E+06   8.0843944E+05   1.1764638E+06   8.1015562E+05
    2.7625   1.0064479E+06   1.3704032E+06   1.0087114E+06   8.0901131E+05   1.1751794E+06   8.1077012E+05
    2.7750   1.0068919E+06   1.3692029E+06   1.0092776E+06   8.0957400E+05   1.1738920E+06   8.1137875E+05
    2.7875   1.0073353E+06   1.3680011E+06   1.0098333E+06   8.1012675E+05   1.1726020E+06   8.1198156E+05
    2.8000   1.0077774E+06   1.3668005E+06   1.0103770E+06   8.1066881E+05   1.1713098E+06   8.1257869E+05
    2.8125   1.0082176E+06   1.3656021E+06   1.0109076E+06   8.1119950E+05   1.1700160E+06   8.1317006E+05
    2.8250   1.0086554E+06   1.3644079E+06   1.0114240E+06   8.1171825E+05   1.1687215E+06   8.1375538E+05
    2.8375   1.0090901E+06   1.3632192E+06   1.0119250E+06   8.1222438E+05   1.1674274E+06   8.1433438E+05
    2.8500   1.0095207E+06   1.3620380E+06   1.0124096E+06   8.1271744E+05   1.1661344E+06   8.1490638E+05
